Label,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Subsample,Precision,Recall,AUC,Accuracy
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,4,20%,0.812834225,0.312243221,0.62015778,0.620094514
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,4,20%,0.577055978,0.919603524,0.622797357,0.622797357
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.67,4,20%,0.589688507,0.915763136,0.639282736,0.639282736
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.67,4,20%,0.58556701,0.920583468,0.635049016,0.634817814
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,4,20%,0.753623188,0.392002622,0.631923959,0.631923959
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,4,20%,0.819479429,0.400986031,0.656308881,0.656256421
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,4,20%,0.842562432,0.427312775,0.67373348,0.67373348
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,4,20%,0.855946399,0.42618849,0.677231026,0.677231026
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,4,20%,0.628637951,0.875202593,0.679510682,0.679352227
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,4,20%,0.251720747,0.755162242,0.653097345,0.585054081
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,4,20%,0.28759244,0.817757009,0.692722932,0.611670434
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,4,20%,0.950440529,0.572281167,0.713088636,0.620044053
Immune,Imbalanced,Imbalanced,XGBoost,0.67,0.33,4,20%,0.959966639,0.58995387,0.74128566,0.646371977
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.33,4,20%,0.957860616,0.581692913,0.731485726,0.634817814
Immune,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,4,20%,0.352999017,0.774820144,0.625204851,0.625204851
Immune,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,4,20%,0.387428102,0.801189465,0.645625272,0.645572221
Immune,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,4,20%,0.929515419,0.598157335,0.65253304,0.65253304
Immune,Imbalanced,Imbalanced,XGBoost,0.83,0.17,4,20%,0.933277731,0.618232044,0.678482068,0.678482068
Immune,Imbalanced,Imbalanced,Random Forest,0.83,0.17,4,20%,0.946515397,0.610878661,0.672286825,0.672064777
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,5,25%,0.591780349,0.898531725,0.639355008,0.639355008
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,5,25%,0.60929432,0.930966469,0.666995398,0.666995398
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,5,25%,0.621573828,0.92907489,0.681718062,0.681718062
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,5,25%,0.636904762,0.928571429,0.699776041,0.6996997
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,5,25%,0.642413487,0.937823834,0.707901554,0.707901554
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,5,25%,0.558613829,0.883324594,0.592684845,0.592684845
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,5,25%,0.582608696,0.92504931,0.631163708,0.631163708
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,5,25%,0.592086536,0.916299559,0.642511013,0.642511013
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.67,5,25%,0.612325175,0.935246996,0.671759589,0.671671672
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.67,5,25%,0.615789474,0.909326425,0.670984456,0.670984456
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,5,25%,0.745133545,0.431567908,0.641976927,0.641976927
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,5,25%,0.843902439,0.39809336,0.662228797,0.662228797
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,5,25%,0.847583643,0.401762115,0.664757709,0.664757709
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,5,25%,0.64637827,0.857810414,0.694415547,0.694361028
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,5,25%,0.899742931,0.453367876,0.70142487,0.70142487
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,5,25%,0.904824331,0.54891045,0.639108469,0.580624017
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,5,25%,0.94312952,0.570377734,0.703120556,0.616370809
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,5,25%,0.953303965,0.585656292,0.730106253,0.639427313
